stock_id,stock_name,shares,weight,amount,is_new,amount_change,shares_change,weight_change
2330,台積電,5518000.0,9.28,10787690000.0,False,203090000.0,90000.0,-0.05
2383,台光電,2861000.0,7.92,9212420000.0,False,143050000.0,0.0,-0.07
2368,金像電,6607000.0,6.22,7234665000.0,False,640879000.0,0.0,0.41
2308,台達電,4379000.0,6.2,7203455000.0,False,-87580000.0,0.0,-0.22
3653,健策,1595000.0,5.82,6762800000.0,False,366850000.0,0.0,0.18
3017,奇鋐,3026000.0,5.82,6763110000.0,False,15130000.0,0.0,-0.13
3665,貿聯-KY,3052848.0,5.59,6502566240.0,False,351077520.0,0.0,0.17
6223,旺矽,1414000.0,5.44,6320580000.0,False,226240000.0,0.0,0.07
2345,智邦,3646000.0,5.3,6161740000.0,False,-72920000.0,0.0,-0.19
3037,欣興,8443000.0,4.54,5276875000.0,False,42215000.0,0.0,-0.07
8046,南電,7557000.0,4.35,5055633000.0,False,241824000.0,0.0,0.11
5274,信驊,318000.0,3.44,3995670000.0,False,-15900000.0,0.0,-0.09
2327,國巨*,11083000.0,2.68,3119864500.0,False,110830000.0,0.0,0.03
3711,日月光投控,6159000.0,2.08,2414328000.0,False,55431000.0,0.0,0.0
6515,穎崴,268000.0,1.84,2142660000.0,False,49580000.0,0.0,0.0
6274,台燿,2670000.0,1.83,2127990000.0,False,192240000.0,0.0,0.12
6805,富世達,1130000.0,1.79,2079200000.0,False,-56500000.0,0.0,-0.09
2449,京元電子,7512000.0,1.78,2065800000.0,False,-37560000.0,0.0,-0.07
6510,精測,604000.0,1.77,2056620000.0,False,-18120000.0,0.0,-0.06
1303,南亞,19743000.0,1.45,1682103600.0,False,1974300.0,0.0,-0.03
3211,順達,4086000.0,1.29,1497519000.0,False,-49032000.0,0.0,-0.07
3189,景碩,2657000.0,0.88,1028259000.0,False,-18599000.0,0.0,-0.04
6139,亞翔,1559000.0,0.81,943195000.0,False,79509000.0,0.0,0.05
2454,聯發科,508000.0,0.69,800100000.0,False,-2540000.0,0.0,-0.02
5347,世界,5845000.0,0.66,768617500.0,False,2922500.0,0.0,-0.01
8358,金居,2750000.0,0.64,748000000.0,False,12375000.0,0.0,-0.01
6147,頎邦,7692000.0,0.64,742278000.0,False,189459300.0,2091000.0,0.15
3443,創意,267000.0,0.61,708885000.0,False,38715000.0,0.0,0.02
2404,漢唐,764000.0,0.6,692948000.0,False,2292000.0,0.0,-0.01
3661,世芯-KY,233000.0,0.58,674535000.0,False,8155000.0,0.0,-0.01
6488,環球晶,1330000.0,0.51,595175000.0,False,15295000.0,0.0,0.0
3264,欣銓,2870000.0,0.45,518035000.0,False,45920000.0,0.0,0.03
8996,高力,515000.0,0.45,520150000.0,False,45835000.0,0.0,0.03
4979,華星光,1037000.0,0.38,444873000.0,False,7777500.0,0.0,-0.01
1326,台化,9001000.0,0.35,410445600.0,False,4500500.0,0.0,-0.01
6187,萬潤,388000.0,0.3,343768000.0,False,-36472000.0,0.0,-0.04
6191,精成科,3402000.0,0.28,324210600.0,False,3402000.0,0.0,0.0
3583,辛耘,526000.0,0.28,321912000.0,False,196030000.0,300000.0,0.17
3376,新日興,1428000.0,0.26,297024000.0,False,-4998000.0,0.0,-0.01
6669,緯穎,76000.0,0.23,272080000.0,False,760000.0,0.0,-0.01
3324,雙鴻,160000.0,0.14,158240000.0,False,-2560000.0,0.0,0.0
2481,強茂,1636000.0,0.14,164418000.0,False,-2454000.0,0.0,-0.01
2002,中鋼,4929000.0,0.09,99565800.0,False,1232250.0,0.0,0.0
1319,東陽,982000.0,0.07,78658200.0,False,-43917800.0,-522000.0,-0.04
3217,優群,477000.0,0.06,73696500.0,False,-1192500.0,0.0,-0.01
8210,勤誠,34000.0,0.03,29920000.0,False,-612000.0,0.0,0.0
3008,大立光,10000.0,0.02,22800000.0,False,0.0,0.0,0.0
2357,華碩,8000.0,0.0,4544000.0,False,48000.0,0.0,0.0
1815,富喬,5000.0,0.0,607500.0,False,47500.0,0.0,0.0
2439,美律,8000.0,0.0,686400.0,False,-17600.0,0.0,0.0
3045,台灣大,8000.0,0.0,880000.0,False,4000.0,0.0,0.0
2313,華通,7000.0,0.0,1970500.0,False,52500.0,0.0,0.0
