stock_id,stock_name,shares,weight,amount,is_new,amount_change,shares_change,weight_change
2330,台積電,6556000.0,8.67,13308680000.0,False,0.0,0.0,0.0
2383,台光電,3012000.0,7.46,11445600000.0,False,0.0,0.0,0.0
2308,台達電,5103000.0,6.12,9389520000.0,False,0.0,0.0,0.0
3653,健策,1986000.0,5.91,9066090000.0,False,0.0,0.0,0.0
2345,智邦,4253000.0,5.73,8803710000.0,False,0.0,0.0,0.0
2368,金像電,7091000.0,5.43,8331925000.0,False,0.0,0.0,0.0
6223,旺矽,1582000.0,5.35,8218490000.0,False,0.0,0.0,0.0
3665,貿聯-KY,3467848.0,5.34,8201460520.0,False,0.0,0.0,0.0
3017,奇鋐,3405000.0,5.32,8172000000.0,False,0.0,0.0,0.0
8046,南電,8609000.0,4.06,6232916000.0,False,0.0,0.0,0.0
3037,欣興,9287000.0,3.89,5971541000.0,False,0.0,0.0,0.0
5274,信驊,351000.0,3.16,4845555000.0,False,0.0,0.0,0.0
2327,國巨*,13568000.0,2.8,4294272000.0,False,0.0,0.0,0.0
2454,聯發科,1870000.0,2.34,3599750000.0,False,0.0,0.0,0.0
6515,穎崴,331000.0,2.22,3410955000.0,False,0.0,0.0,0.0
3711,日月光投控,6879000.0,1.98,3040518000.0,False,0.0,0.0,0.0
6274,台燿,3019000.0,1.86,2855974000.0,False,0.0,0.0,0.0
6805,富世達,1474000.0,1.8,2756380000.0,False,0.0,0.0,0.0
2449,京元電子,9529000.0,1.71,2620475000.0,False,0.0,0.0,0.0
6510,精測,683000.0,1.66,2554420000.0,False,0.0,0.0,0.0
2303,聯電,28030000.0,1.33,2046190000.0,False,0.0,0.0,0.0
8358,金居,5508000.0,1.32,2024190000.0,False,0.0,0.0,0.0
3211,順達,3703000.0,0.87,1329377000.0,False,0.0,0.0,0.0
6669,緯穎,349000.0,0.86,1327945000.0,False,0.0,0.0,0.0
3661,世芯-KY,336000.0,0.77,1181040000.0,False,0.0,0.0,0.0
3189,景碩,2826000.0,0.72,1106379000.0,False,0.0,0.0,0.0
2404,漢唐,1014000.0,0.68,1039350000.0,False,0.0,0.0,0.0
8210,勤誠,965000.0,0.64,984300000.0,False,0.0,0.0,0.0
6147,頎邦,7884000.0,0.59,906660000.0,False,0.0,0.0,0.0
3443,創意,271000.0,0.57,882105000.0,False,0.0,0.0,0.0
5439,高技,2156000.0,0.56,865634000.0,False,0.0,0.0,0.0
1303,南亞,8012000.0,0.46,702652400.0,False,0.0,0.0,0.0
8996,高力,535000.0,0.43,652700000.0,False,0.0,0.0,0.0
4979,華星光,1037000.0,0.43,667828000.0,False,0.0,0.0,0.0
3264,欣銓,3355000.0,0.38,577060000.0,False,0.0,0.0,0.0
6187,萬潤,419000.0,0.33,509085000.0,False,0.0,0.0,0.0
6488,環球晶,886000.0,0.29,447430000.0,False,0.0,0.0,0.0
2481,強茂,3648000.0,0.28,430464000.0,False,0.0,0.0,0.0
7769,鴻勁,91000.0,0.27,409500000.0,False,0.0,0.0,0.0
6191,精成科,3814000.0,0.26,398563000.0,False,0.0,0.0,0.0
3583,辛耘,527000.0,0.26,400520000.0,False,0.0,0.0,0.0
3376,新日興,1498000.0,0.19,292110000.0,False,0.0,0.0,0.0
3324,雙鴻,167000.0,0.11,172845000.0,False,0.0,0.0,0.0
2002,中鋼,5157000.0,0.07,103655700.0,False,0.0,0.0,0.0
3217,優群,557000.0,0.06,90791000.0,False,0.0,0.0,0.0
1319,東陽,505000.0,0.03,39642500.0,False,0.0,0.0,0.0
3008,大立光,13000.0,0.02,33865000.0,False,0.0,0.0,0.0
2313,華通,110000.0,0.02,28765000.0,False,0.0,0.0,0.0
1815,富喬,106000.0,0.01,13462000.0,False,0.0,0.0,0.0
2357,華碩,12000.0,0.0,7188000.0,False,0.0,0.0,0.0
2439,美律,12000.0,0.0,1080000.0,False,0.0,0.0,0.0
3045,台灣大,12000.0,0.0,1350000.0,False,0.0,0.0,0.0
5347,世界,10000.0,0.0,1320000.0,False,0.0,0.0,0.0
