stock_id,stock_name,shares,weight,amount,is_new,amount_change,shares_change,weight_change
2330,台積電,3418000.0,8.87,6460020000.0,False,0.0,0.0,0.0
2383,台光電,2177000.0,7.05,5137720000.0,False,0.0,0.0,0.0
2308,台達電,3616000.0,6.55,4773120000.0,False,0.0,0.0,0.0
3017,奇鋐,2502000.0,6.34,4616190000.0,False,0.0,0.0,0.0
2345,智邦,2660000.0,5.35,3896900000.0,False,0.0,0.0,0.0
3665,貿聯-KY,2193848.0,5.33,3883110960.0,False,0.0,0.0,0.0
3653,健策,1117000.0,5.24,3814555000.0,False,0.0,0.0,0.0
6223,旺矽,1184000.0,4.82,3510560000.0,False,0.0,0.0,0.0
6669,緯穎,787000.0,4.55,3317205000.0,False,0.0,0.0,0.0
2368,金像電,3832000.0,4.17,3034944000.0,False,0.0,0.0,0.0
3037,欣興,5952000.0,3.53,2571264000.0,False,0.0,0.0,0.0
8046,南電,4559000.0,2.94,2140450500.0,False,0.0,0.0,0.0
2327,國巨*,7937000.0,2.89,2103305000.0,False,0.0,0.0,0.0
6805,富世達,1124000.0,2.85,2073780000.0,False,0.0,0.0,0.0
3661,世芯-KY,568000.0,2.58,1880080000.0,False,0.0,0.0,0.0
6274,台燿,3475000.0,2.4,1751400000.0,False,0.0,0.0,0.0
8210,勤誠,1806000.0,2.33,1695834000.0,False,0.0,0.0,0.0
6510,精測,359000.0,1.82,1326505000.0,False,0.0,0.0,0.0
6515,穎崴,236000.0,1.7,1239000000.0,False,0.0,0.0,0.0
8299,群聯,696000.0,1.69,1231920000.0,False,0.0,0.0,0.0
2449,京元電子,4055000.0,1.58,1153647500.0,False,0.0,0.0,0.0
5274,信驊,104000.0,1.39,1009320000.0,False,0.0,0.0,0.0
6139,亞翔,1689000.0,1.22,888414000.0,False,0.0,0.0,0.0
6488,環球晶,1694000.0,1.09,791098000.0,False,0.0,0.0,0.0
2404,漢唐,567000.0,0.86,623700000.0,False,0.0,0.0,0.0
3211,順達,1565000.0,0.69,503930000.0,False,0.0,0.0,0.0
8358,金居,1864000.0,0.66,480912000.0,False,0.0,0.0,0.0
4979,華星光,1219000.0,0.63,462001000.0,False,0.0,0.0,0.0
3711,日月光投控,1237000.0,0.58,423054000.0,False,0.0,0.0,0.0
2454,聯發科,201000.0,0.49,354765000.0,False,0.0,0.0,0.0
1802,台玻,5996000.0,0.49,354363600.0,False,0.0,0.0,0.0
6191,精成科,3378000.0,0.45,331044000.0,False,0.0,0.0,0.0
3376,新日興,1395000.0,0.37,272025000.0,False,0.0,0.0,0.0
1303,南亞,3164000.0,0.36,260397200.0,False,0.0,0.0,0.0
3324,雙鴻,156000.0,0.21,154284000.0,False,0.0,0.0,0.0
1319,東陽,1499000.0,0.19,139407000.0,False,0.0,0.0,0.0
2002,中鋼,4924000.0,0.13,97987600.0,False,0.0,0.0,0.0
3217,優群,353000.0,0.08,55421000.0,False,0.0,0.0,0.0
3008,大立光,5000.0,0.02,11900000.0,False,0.0,0.0,0.0
2059,川湖,2000.0,0.01,6410000.0,False,0.0,0.0,0.0
2357,華碩,3000.0,0.0,1581000.0,False,0.0,0.0,0.0
8996,高力,1000.0,0.0,777000.0,False,0.0,0.0,0.0
1815,富喬,2000.0,0.0,212000.0,False,0.0,0.0,0.0
2439,美律,3000.0,0.0,248100.0,False,0.0,0.0,0.0
1326,台化,2000.0,0.0,92000.0,False,0.0,0.0,0.0
3533,嘉澤,2000.0,0.0,3130000.0,False,0.0,0.0,0.0
3045,台灣大,3000.0,0.0,324000.0,False,0.0,0.0,0.0
5536,聖暉*,2000.0,0.0,1336000.0,False,0.0,0.0,0.0
2313,華通,2000.0,0.0,406000.0,False,0.0,0.0,0.0
3583,辛耘,3000.0,0.0,1068000.0,False,0.0,0.0,0.0
