stock_id,stock_name,shares,weight,amount,is_new,amount_change,shares_change,weight_change
2330,台積電,11359000.0,9.78,26012110000.0,False,-227180000.0,0.0,0.16
2383,台光電,4605000.0,8.22,21873750000.0,False,-967050000.0,0.0,-0.16
2454,聯發科,4463000.0,6.09,16200690000.0,False,937230000.0,0.0,0.49
2345,智邦,6231000.0,5.56,14798625000.0,False,-1152735000.0,0.0,-0.29
2308,台達電,6572000.0,5.44,14458400000.0,False,-525760000.0,0.0,-0.05
3665,貿聯-KY,4703848.0,4.86,12935582000.0,False,-141115440.0,0.0,0.06
2368,金像電,8260000.0,4.13,10985800000.0,False,-991200000.0,0.0,-0.26
8046,南電,12658000.0,4.06,10809932000.0,False,-1177194000.0,0.0,-0.34
6669,緯穎,2047000.0,4.0,10644400000.0,False,1767680000.0,228000.0,0.74
6223,旺矽,2054000.0,3.88,10321350000.0,False,653690000.0,132000.0,0.33
3017,奇鋐,4202000.0,3.86,10273890000.0,False,415860000.0,120000.0,0.25
3037,欣興,10387000.0,3.19,8496566000.0,False,-810186000.0,0.0,-0.22
3653,健策,2267000.0,3.11,8274550000.0,False,-510075000.0,0.0,-0.11
5274,信驊,483000.0,3.08,8189265000.0,False,-451605000.0,0.0,-0.09
3711,日月光投控,13833000.0,2.68,7137828000.0,False,-331992000.0,0.0,-0.06
2327,國巨*,17221000.0,2.52,6698969000.0,False,301367500.0,0.0,0.17
6274,台燿,4151000.0,2.14,5686870000.0,False,-311325000.0,0.0,-0.06
2303,聯電,46374000.0,1.59,4233946200.0,False,-241144800.0,0.0,-0.05
6515,穎崴,422000.0,1.53,4063860000.0,False,-97060000.0,0.0,0.0
2449,京元電子,12919000.0,1.51,4017809000.0,False,-361732000.0,0.0,-0.1
3443,創意,764000.0,1.5,3980440000.0,False,-183360000.0,0.0,-0.03
2317,鴻海,14177000.0,1.33,3544250000.0,False,-49619500.0,0.0,0.01
6805,富世達,1761000.0,1.31,3486780000.0,False,105660000.0,0.0,0.07
6510,精測,930000.0,1.25,3329400000.0,False,-139500000.0,0.0,-0.02
8210,勤誠,1540000.0,0.82,2179100000.0,False,192500000.0,0.0,0.09
3264,欣銓,9030000.0,0.76,2022720000.0,False,-221235000.0,0.0,-0.06
3189,景碩,3744000.0,0.64,1714752000.0,False,-925048000.0,-1616000.0,-0.33
3661,世芯-KY,296000.0,0.54,1447440000.0,False,28120000.0,0.0,0.02
2404,漢唐,1394000.0,0.53,1414910000.0,False,325189000.0,301000.0,0.13
2357,華碩,1996000.0,0.49,1297400000.0,False,21956000.0,0.0,0.02
6187,萬潤,1224000.0,0.49,1309680000.0,False,-73440000.0,0.0,-0.02
5439,高技,3228000.0,0.47,1252464000.0,False,-61332000.0,0.0,-0.01
8996,高力,1034000.0,0.39,1049510000.0,False,-62040000.0,0.0,-0.02
8150,南茂,11334000.0,0.39,1050661800.0,False,-61203600.0,0.0,-0.02
8358,金居,1980000.0,0.34,899910000.0,False,-1706792000.0,-3578000.0,-0.62
1590,亞德客-KY,530000.0,0.3,797650000.0,False,7950000.0,0.0,0.01
2313,華通,2624000.0,0.25,665184000.0,False,10496000.0,0.0,0.01
6191,精成科,3988000.0,0.14,380854000.0,False,-17946000.0,0.0,-0.01
2481,強茂,3654000.0,0.14,363573000.0,False,-14616000.0,0.0,0.0
3376,新日興,1741000.0,0.13,352552500.0,False,-21762500.0,0.0,-0.01
4966,譜瑞-KY,486000.0,0.12,325134000.0,False,90060000.0,100000.0,0.03
6415,矽力*-KY,660000.0,0.11,280830000.0,False,660000.0,0.0,0.01
3217,優群,874000.0,0.06,153824000.0,False,874000.0,0.0,0.0
2002,中鋼,5163000.0,0.04,96806250.0,False,-516300.0,0.0,0.0
1319,東陽,511000.0,0.02,40982200.0,False,102200.0,0.0,0.01
1815,富喬,107000.0,0.0,11449000.0,False,-321000.0,0.0,0.0
2439,美律,18000.0,0.0,1551600.0,False,-5400.0,0.0,0.0
2337,旺宏,8000.0,0.0,1224000.0,False,-92000.0,0.0,0.0
6147,頎邦,1000.0,0.0,198000.0,False,-1536914500.0,-7984000.0,-0.56
5347,世界,1000.0,0.0,167500.0,False,-11519000.0,-62000.0,0.0
