stock_id,stock_name,shares,weight,amount,is_new,amount_change,shares_change,weight_change
2330,台積電,6121000.0,9.34,12731680000.0,False,374965000.0,108000.0,-0.19
2383,台光電,3012000.0,8.42,11475720000.0,False,905860000.0,80000.0,0.26
2308,台達電,4610000.0,6.04,8228850000.0,False,248850000.0,50000.0,-0.12
2368,金像電,6821000.0,5.83,7946465000.0,False,159815000.0,50000.0,-0.18
3665,貿聯-KY,3260848.0,5.62,7662992800.0,False,294096640.0,50000.0,-0.07
3653,健策,1837000.0,5.6,7632735000.0,False,524735000.0,60000.0,0.12
2345,智邦,3878000.0,5.6,7639660000.0,False,423640000.0,60000.0,0.03
3017,奇鋐,3202000.0,5.46,7444650000.0,False,186630000.0,60000.0,-0.14
6223,旺矽,1489000.0,5.03,6856845000.0,False,158205000.0,20000.0,-0.14
3037,欣興,9287000.0,4.21,5739366000.0,False,195027000.0,0.0,-0.07
8046,南電,8389000.0,4.04,5503184000.0,False,161410000.0,120000.0,-0.08
5274,信驊,343000.0,3.49,4759125000.0,False,454470000.0,12000.0,0.17
2327,國巨*,13128000.0,3.1,4227216000.0,False,193680000.0,200000.0,-0.01
3711,日月光投控,6535000.0,2.14,2917877500.0,False,197917500.0,120000.0,0.04
6274,台燿,2954000.0,2.05,2794484000.0,False,254044000.0,0.0,0.09
6515,穎崴,305000.0,2.03,2764825000.0,False,308525000.0,15000.0,0.13
2449,京元電子,9275000.0,1.98,2699025000.0,False,-47600000.0,150000.0,-0.14
6805,富世達,1308000.0,1.75,2387100000.0,False,331860000.0,120000.0,0.16
6510,精測,620000.0,1.64,2235100000.0,False,198940000.0,14000.0,0.07
2454,聯發科,1067000.0,1.4,1909930000.0,False,742050000.0,388000.0,0.5
8358,金居,5389000.0,1.32,1797231500.0,False,279992000.0,580000.0,0.15
1303,南亞,16352000.0,1.06,1447152000.0,False,-372097000.0,-4089000.0,-0.34
3211,順達,3850000.0,0.98,1339800000.0,False,-7350000.0,1000.0,-0.06
3189,景碩,2764000.0,0.78,1059994000.0,False,34550000.0,0.0,-0.01
8210,勤誠,944000.0,0.69,936448000.0,False,106144000.0,80000.0,0.05
3443,創意,271000.0,0.61,831970000.0,False,5420000.0,0.0,-0.03
6147,頎邦,7884000.0,0.61,835704000.0,False,-55188000.0,0.0,-0.08
3661,世芯-KY,251000.0,0.59,805710000.0,False,34510000.0,10000.0,-0.01
6488,環球晶,1434000.0,0.54,739944000.0,False,31530000.0,20000.0,-0.01
2404,漢唐,804000.0,0.54,731640000.0,False,-3105000.0,1000.0,-0.03
6669,緯穎,195000.0,0.53,725400000.0,False,68275000.0,20000.0,0.02
5439,高技,1719000.0,0.5,681583500.0,False,175441500.0,315000.0,0.11
8996,高力,535000.0,0.43,588500000.0,False,-8025000.0,0.0,-0.03
3264,欣銓,2989000.0,0.41,558943000.0,False,187000.0,1000.0,-0.02
4979,華星光,1037000.0,0.41,552721000.0,False,49776000.0,0.0,0.02
6187,萬潤,388000.0,0.32,440380000.0,False,38800000.0,0.0,0.01
6191,精成科,3585000.0,0.27,365670000.0,False,1487500.0,100000.0,-0.01
3583,辛耘,527000.0,0.27,368900000.0,False,8959000.0,0.0,-0.01
3376,新日興,1465000.0,0.21,281280000.0,False,-9324000.0,1000.0,-0.01
2481,強茂,1716000.0,0.13,171600000.0,False,5676000.0,40000.0,0.0
3324,雙鴻,163000.0,0.12,158436000.0,False,2106000.0,1000.0,0.0
2002,中鋼,5052000.0,0.07,101545200.0,False,-2000300.0,1000.0,-0.01
3217,優群,545000.0,0.06,88290000.0,False,10822500.0,50000.0,0.0
1319,東陽,493000.0,0.03,38749800.0,False,816600.0,1000.0,0.0
3008,大立光,12000.0,0.02,33840000.0,False,4470000.0,1000.0,0.0
1815,富喬,106000.0,0.01,11872000.0,False,11185000.0,100000.0,0.01
2313,華通,59000.0,0.01,15517000.0,False,13199500.0,50000.0,0.01
2357,華碩,11000.0,0.0,6424000.0,False,624000.0,1000.0,0.0
2439,美律,11000.0,0.0,970200.0,False,100200.0,1000.0,0.0
3045,台灣大,11000.0,0.0,1210000.0,False,110000.0,1000.0,0.0
5347,世界,10000.0,0.0,1275000.0,False,154500.0,1000.0,0.0
